Title,Description,URL,Latitude,Longitude
Title 1,489494,https://www.google.com,25.784,-80.2101
Title 2,489495,https://www.yahoo.com,29.786,-95.3885
Title 3,489496,https://www.bing.com,32.7935,-96.7667
Title 4,489497,https://www.msn.com,40.0077,-75.1339
Title 5,489498,https://www.nyt.com,33.7628,-84.422
Title 6,489499,https://www.washingpost.com,38.9047,-77.0163
Title 7,489500,https://www.latimes.com,42.3188,-71.0852
Title 8,489501,https://www.realclearpolitics.com,33.5722,-112.0892
Title 9,489502,https://www.cleveland.com,42.3834,-83.1024
Title 10,489503,https://www.miamiherald.com,47.6211,-122.3244
